gene_symbol,reference_gene_id
MAX,ENSSSCG00000037267
MAZ,ENSSSCG00000025321
MBD1,ENSSSCG00000004516
MBD2,ENSSSCG00000004528
MBD3,ENSSSCG00000013435
MBD4,ENSSSCG00000033303
MECOM,ENSSSCG00000011743
MECP2,ENSSSCG00000034742
MEF2A,ENSSSCG00000028771
MEF2B,ENSSSCG00000030351
MEF2C,ENSSSCG00000014149
MEF2D,ENSSSCG00000006482
MEIOSIN,ENSSSCG00000039916
MEIS1,ENSSSCG00000039161
MEIS2,ENSSSCG00000004795
MEIS3,ENSSSCG00000003115
MEOX1,ENSSSCG00000017376
MEOX2,ENSSSCG00000015357
MESP1,ENSSSCG00000001847
MESP2,ENSSSCG00000001848
MGA,ENSSSCG00000004739
MIDEAS,ENSSSCG00000002350
MIER1,ENSSSCG00000030423
MIER2,ENSSSCG00000014003
MIER3,ENSSSCG00000016920
MIS18BP1,ENSSSCG00000004999
MITF,ENSSSCG00000011514
MIXL1,ENSSSCG00000030675
MKX,ENSSSCG00000029783
MLLT10,ENSSSCG00000011085
MLX,ENSSSCG00000017397
MLXIP,ENSSSCG00000009794
MLXIPL,ENSSSCG00000007710
MNT,ENSSSCG00000037159
MNX1,ENSSSCG00000016410
MSC,ENSSSCG00000006187
MSGN1,ENSSSCG00000026538
MSX1,ENSSSCG00000008727
MSX2,ENSSSCG00000034500
MTA1,ENSSSCG00000032544
MTA2,ENSSSCG00000013062
MTA3,ENSSSCG00000008464
MTF1,ENSSSCG00000037516
MXD1,ENSSSCG00000008334
MXD3,ENSSSCG00000014041
MXD4,ENSSSCG00000008687
MXI1,ENSSSCG00000022128
MYB,ENSSSCG00000004167
MYBL1,ENSSSCG00000027872
MYBL2,ENSSSCG00000007366
MYC,ENSSSCG00000005965
MYCL,ENSSSCG00000039761
MYCN,ENSSSCG00000008618
MYEF2,ENSSSCG00000004661
MYF5,ENSSSCG00000000937
MYF6,ENSSSCG00000026533
MYNN,ENSSSCG00000026829
MYOD1,ENSSSCG00000013375
MYOG,ENSSSCG00000034654
MYRFL,ENSSSCG00000023936
MYSM1,ENSSSCG00000003830
MYT1,ENSSSCG00000039212
MYT1L,ENSSSCG00000029334
MZF1,ENSSSCG00000031562
NANOG,ENSSSCG00000040403
NCOA1,ENSSSCG00000008581
NCOR2,ENSSSCG00000009761
NEUROD1,ENSSSCG00000016011
NEUROD2,ENSSSCG00000033583
NEUROD4,ENSSSCG00000035778
NEUROD6,ENSSSCG00000039501
NEUROG1,ENSSSCG00000014309
NEUROG2,ENSSSCG00000033479
NEUROG3,ENSSSCG00000034488
NFAT5,ENSSSCG00000002755
NFATC1,ENSSSCG00000004856
NFATC2,ENSSSCG00000007477
NFATC3,ENSSSCG00000029578
NFATC4,ENSSSCG00000001986
NFE2,ENSSSCG00000000289
NFE2L1,ENSSSCG00000017525
NFE2L2,ENSSSCG00000015987
NFE2L3,ENSSSCG00000026894
NFIA,ENSSSCG00000023243
NFIB,ENSSSCG00000005190
NFIC,ENSSSCG00000036537
NFIL3,ENSSSCG00000009592
NFILZ,ENSSSCG00000046561
NFIX,ENSSSCG00000013742
NFKB1,ENSSSCG00000030957
NFKB2,ENSSSCG00000010580
NFRKB,ENSSSCG00000015242
NFX1,ENSSSCG00000010994
NFXL1,ENSSSCG00000008816
NFYA,ENSSSCG00000001611
NFYB,ENSSSCG00000000844
NFYC,ENSSSCG00000003976
NHLH1,ENSSSCG00000006384
NHLH2,ENSSSCG00000006744
NKRF,ENSSSCG00000012620
NKX1-1,ENSSSCG00000038573
NKX1-2,ENSSSCG00000010733
NKX2-2,ENSSSCG00000040017
NKX2-3,ENSSSCG00000010538
NKX2-4,ENSSSCG00000007110
NKX2-5,ENSSSCG00000036285
NKX2-6,ENSSSCG00000028064
NKX2-8,ENSSSCG00000001944
NKX3-1,ENSSSCG00000031924
NKX3-2,ENSSSCG00000034181
NKX6-1,ENSSSCG00000009232
NKX6-2,ENSSSCG00000036098
NKX6-3,ENSSSCG00000033505
NME1,ENSSSCG00000038348
NOBOX,ENSSSCG00000024977
NPAS1,ENSSSCG00000003108
NPAS2,ENSSSCG00000008171
NPAS3,ENSSSCG00000001964
NPAS4,ENSSSCG00000012942
NR0B1,ENSSSCG00000012199
NR0B2,ENSSSCG00000003565
NR1D1,ENSSSCG00000036933
NR1H2,ENSSSCG00000003211
NR1H3,ENSSSCG00000013241
NR1H4,ENSSSCG00000000875
NR1I2,ENSSSCG00000011890
NR1I3,ENSSSCG00000006353
NR2C1,ENSSSCG00000000902
NR2C2,ENSSSCG00000011594
NR2E1,ENSSSCG00000004384
NR2E3,ENSSSCG00000004978
NR2F1,ENSSSCG00000014157
NR2F2,ENSSSCG00000002254
NR2F6,ENSSSCG00000013873
NR3C1,ENSSSCG00000014401
NR3C2,ENSSSCG00000037766
NR4A1,ENSSSCG00000031321
NR4A2,ENSSSCG00000015871
NR4A3,ENSSSCG00000005385
NR5A1,ENSSSCG00000005588
NR5A2,ENSSSCG00000024975
NR6A1,ENSSSCG00000005589
NRF1,ENSSSCG00000016566
NRL,ENSSSCG00000002010
NSD2,ENSSSCG00000008682
OLIG1,ENSSSCG00000012040
OLIG2,ENSSSCG00000012039
OLIG3,ENSSSCG00000004155
ONECUT1,ENSSSCG00000004616
ONECUT2,ENSSSCG00000004540
ONECUT3,ENSSSCG00000013439
OSR1,ENSSSCG00000008606
OSR2,ENSSSCG00000006073
OTP,ENSSSCG00000014099
OTX1,ENSSSCG00000037564
OTX2,ENSSSCG00000005063
OVOL1,ENSSSCG00000027361
OVOL2,ENSSSCG00000036377
OVOL3,ENSSSCG00000042327
PARP12,ENSSSCG00000016502
PATZ1,ENSSSCG00000010027
PAX1,ENSSSCG00000007112
PAX2,ENSSSCG00000010556
PAX3,ENSSSCG00000028418
PAX4,ENSSSCG00000016591
PAX5,ENSSSCG00000036086
PAX6,ENSSSCG00000013320
PAX7,ENSSSCG00000034627
PAX9,ENSSSCG00000001942
PAXBP1,ENSSSCG00000012037
PBRM1,ENSSSCG00000035824
PBX1,ENSSSCG00000006331
PBX2,ENSSSCG00000001438
PBX3,ENSSSCG00000005604
PBX4,ENSSSCG00000013933
PDX1,ENSSSCG00000035817
PEG3,ENSSSCG00000003326
PGR,ENSSSCG00000014977
PHB,ENSSSCG00000017549
PHOX2A,ENSSSCG00000014813
PHOX2B,ENSSSCG00000038488
PHTF1,ENSSSCG00000006766
PIAS1,ENSSSCG00000004958
PIAS2,ENSSSCG00000034730
PIAS3,ENSSSCG00000006689
PIAS4,ENSSSCG00000022066
PITX1,ENSSSCG00000036741
PITX2,ENSSSCG00000034708
PITX3,ENSSSCG00000010578
PKNOX1,ENSSSCG00000037663
PKNOX2,ENSSSCG00000015211
PLAG1,ENSSSCG00000006247
PLAGL1,ENSSSCG00000004127
PLAGL2,ENSSSCG00000007243
PLEK,ENSSSCG00000008348
PLSCR1,ENSSSCG00000035634
PMS1,ENSSSCG00000016045
POLR3B,ENSSSCG00000000169
POU1F1,ENSSSCG00000011996
POU2F1,ENSSSCG00000006310
POU2F2,ENSSSCG00000037132
POU2F3,ENSSSCG00000028237
POU3F1,ENSSSCG00000003646
POU3F3,ENSSSCG00000022096
POU3F4,ENSSSCG00000012454
POU4F1,ENSSSCG00000025334
POU4F2,ENSSSCG00000026015
POU4F3,ENSSSCG00000014412
POU6F1,ENSSSCG00000000220
POU6F2,ENSSSCG00000037764
PPARA,ENSSSCG00000000006
PPARD,ENSSSCG00000001539
PPARG,ENSSSCG00000011579
PRDM1,ENSSSCG00000004369
PRDM10,ENSSSCG00000015243
PRDM11,ENSSSCG00000013276
PRDM12,ENSSSCG00000005703
PRDM13,ENSSSCG00000004354
PRDM14,ENSSSCG00000006195
PRDM15,ENSSSCG00000012084
PRDM16,ENSSSCG00000021490
PRDM2,ENSSSCG00000020710
PRDM4,ENSSSCG00000000160
PRDM5,ENSSSCG00000009101
PRDM6,ENSSSCG00000014238
PRDM8,ENSSSCG00000036555
PREB,ENSSSCG00000008553
PROP1,ENSSSCG00000029569
PROX1,ENSSSCG00000015584
PROX2,ENSSSCG00000002373
PRRX1,ENSSSCG00000031503
PRRX2,ENSSSCG00000005680
PTF1A,ENSSSCG00000030662
PURB,ENSSSCG00000032464
RABEP1,ENSSSCG00000017895
RAG1,ENSSSCG00000026145
RARA,ENSSSCG00000017475
RARG,ENSSSCG00000000258
RAX,ENSSSCG00000004910
RAX2,ENSSSCG00000032429
RBAK,ENSSSCG00000008668
RBCK1,ENSSSCG00000007206
RBPJ,ENSSSCG00000022155
RBPJL,ENSSSCG00000037156
RCOR1,ENSSSCG00000002526
RCOR2,ENSSSCG00000013049
RCOR3,ENSSSCG00000028293
REL,ENSSSCG00000008388
RELA,ENSSSCG00000012981
RELB,ENSSSCG00000038879
REPIN1,ENSSSCG00000033708
REST,ENSSSCG00000023357
REV1,ENSSSCG00000008179
RFX1,ENSSSCG00000013764
RFX2,ENSSSCG00000035403
RFX3,ENSSSCG00000005225
RFX5,ENSSSCG00000006625
RFX6,ENSSSCG00000039333
RFX7,ENSSSCG00000004603
RFX8,ENSSSCG00000008165
RFXANK,ENSSSCG00000036310
RLF,ENSSSCG00000003670
RORA,ENSSSCG00000004576
RORB,ENSSSCG00000005268
RORC,ENSSSCG00000026427
RUNX1,ENSSSCG00000035537
RUNX2,ENSSSCG00000001710
RUNX3,ENSSSCG00000032686
RXRA,ENSSSCG00000038220
RXRB,ENSSSCG00000001474
RXRG,ENSSSCG00000006328
SALL1,ENSSSCG00000002836
SALL2,ENSSSCG00000022705
SALL3,ENSSSCG00000004858
SAMD11,ENSSSCG00000033509
SATB1,ENSSSCG00000011201
SATB2,ENSSSCG00000021657
SCRT1,ENSSSCG00000025879
SCRT2,ENSSSCG00000039028
SCX,ENSSSCG00000034551
SEBOX,ENSSSCG00000025748
SETBP1,ENSSSCG00000004490
SETDB1,ENSSSCG00000006645
SETDB2,ENSSSCG00000009395
SHOX2,ENSSSCG00000025238
SIM1,ENSSSCG00000004357
SIM2,ENSSSCG00000027179
SIX1,ENSSSCG00000005087
SIX2,ENSSSCG00000008446
SIX3,ENSSSCG00000039283
SIX4,ENSSSCG00000005089
SIX5,ENSSSCG00000035791
SIX6,ENSSSCG00000005086
SLC2A4RG,ENSSSCG00000037562
SMAD1,ENSSSCG00000009040
SMAD2,ENSSSCG00000004505
SMAD3,ENSSSCG00000004952
SMAD4,ENSSSCG00000004524
SMAD5,ENSSSCG00000014319
SMAD6,ENSSSCG00000004948
SMAD7,ENSSSCG00000004507
SMAD9,ENSSSCG00000009357
SMARCAL1,ENSSSCG00000035501
SMARCC1,ENSSSCG00000011340
SMARCC2,ENSSSCG00000000382
SMARCE1,ENSSSCG00000039137
SMYD5,ENSSSCG00000008305
SNAI1,ENSSSCG00000032613
SNAI2,ENSSSCG00000039568
SNAI3,ENSSSCG00000040145
SNAPC4,ENSSSCG00000038262
SON,ENSSSCG00000023674
SOX10,ENSSSCG00000039315
SOX11,ENSSSCG00000008649
SOX13,ENSSSCG00000015277
SOX14,ENSSSCG00000031721
SOX17,ENSSSCG00000006256
SOX18,ENSSSCG00000037865
SOX21,ENSSSCG00000009494
SOX3,ENSSSCG00000022501
SOX30,ENSSSCG00000017051
SOX5,ENSSSCG00000000567
SOX6,ENSSSCG00000034191
SOX8,ENSSSCG00000037970
SOX9,ENSSSCG00000017251
SP1,ENSSSCG00000000272
SP110,ENSSSCG00000016261
SP3,ENSSSCG00000015962
SP4,ENSSSCG00000015378
SP5,ENSSSCG00000038355
SP6,ENSSSCG00000017522
SP7,ENSSSCG00000034328
SP8,ENSSSCG00000031078
SP9,ENSSSCG00000036172
SPDEF,ENSSSCG00000036573
SPI1,ENSSSCG00000013237
SPIC,ENSSSCG00000000867
SPZ1,ENSSSCG00000014122
SREBF1,ENSSSCG00000033626
SREBF2,ENSSSCG00000026092
SRF,ENSSSCG00000001661
SRSF6,ENSSSCG00000007362
SRY,ENSSSCG00000037443
SSRP1,ENSSSCG00000029059
ST18,ENSSSCG00000006266
STAT1,ENSSSCG00000016057
STAT2,ENSSSCG00000000396
STAT3,ENSSSCG00000017403
STAT4,ENSSSCG00000016059
STAT5A,ENSSSCG00000017402
STAT6,ENSSSCG00000040435
TADA2A,ENSSSCG00000025775
