gene_symbol,reference_gene_id
FO704858.1,ENSDARG00000091679
FO834825.1,ENSDARG00000109703
FO834825.2,ENSDARG00000114211
FO834825.3,ENSDARG00000116570
FO834857.1,ENSDARG00000112895
fosaa,ENSDARG00000040135
fosab,ENSDARG00000031683
fosb,ENSDARG00000055751
fosl1a,ENSDARG00000015355
fosl1b,ENSDARG00000079373
fosl2,ENSDARG00000040623
fosl2l,ENSDARG00000092174
foxa,ENSDARG00000087094
foxa,ENSDARG00000110743
foxa,ENSDARG00000115019
foxa1,ENSDARG00000102138
foxa2,ENSDARG00000003411
foxa3,ENSDARG00000012788
foxb1a,ENSDARG00000089042
foxb1b,ENSDARG00000053650
foxb1b,ENSDARG00000110408
foxb1b,ENSDARG00000113373
foxb2,ENSDARG00000037475
foxc1a,ENSDARG00000091481
foxc1b,ENSDARG00000055398
foxd1,ENSDARG00000029179
foxd2,ENSDARG00000058133
foxd3,ENSDARG00000021032
foxd5,ENSDARG00000042485
foxd5,ENSDARG00000109712
foxe1,ENSDARG00000079266
foxe3,ENSDARG00000062892
foxf1,ENSDARG00000015399
foxf2a,ENSDARG00000017195
foxf2b,ENSDARG00000070389
foxg1a,ENSDARG00000070769
foxg1b,ENSDARG00000032705
foxg1c,ENSDARG00000068380
foxg1c,ENSDARG00000114414
foxg1d,ENSDARG00000070053
foxh1,ENSDARG00000055630
foxi1,ENSDARG00000104566
foxi2,ENSDARG00000069715
foxi2,ENSDARG00000116791
foxi3a,ENSDARG00000055926
foxi3b,ENSDARG00000009550
foxi3b,ENSDARG00000112022
foxi3b,ENSDARG00000112303
foxj1a,ENSDARG00000101919
foxj1b,ENSDARG00000088290
foxj2,ENSDARG00000057680
foxj3,ENSDARG00000075774
foxk1,ENSDARG00000037872
FOXK2,ENSDARG00000011609
foxk2,ENSDARG00000030583
foxl1,ENSDARG00000008133
foxl1,ENSDARG00000111418
foxl2a,ENSDARG00000042180
foxl2a,ENSDARG00000111061
foxl2b,ENSDARG00000068417
FOXL3,ENSDARG00000086055
foxm1,ENSDARG00000003200
foxn1,ENSDARG00000011879
FOXN2,ENSDARG00000055574
foxn2b,ENSDARG00000045105
foxn2b,ENSDARG00000112523
foxn3,ENSDARG00000012833
foxn4,ENSDARG00000010591
foxo1a,ENSDARG00000099555
foxo1b,ENSDARG00000061549
foxo3a,ENSDARG00000023058
foxo3b,ENSDARG00000042904
foxo4,ENSDARG00000055792
foxo6a,ENSDARG00000100486
foxo6b,ENSDARG00000024619
foxp1a,ENSDARG00000004843
foxp1b,ENSDARG00000014181
foxp2,ENSDARG00000005453
foxp3a,ENSDARG00000055750
foxp3b,ENSDARG00000078279
foxp4,ENSDARG00000076120
foxq1a,ENSDARG00000030896
foxq1b,ENSDARG00000055395
foxq2,ENSDARG00000071394
foxr1,ENSDARG00000004864
FP074867.1,ENSDARG00000099070
FP074874.1,ENSDARG00000102679
ftr97,ENSDARG00000095125
gabpa,ENSDARG00000069289
gabpa,ENSDARG00000110923
gabpb1,ENSDARG00000023659
gabpb2b,ENSDARG00000109958
gata1a,ENSDARG00000013477
gata1a,ENSDARG00000117116
gata1b,ENSDARG00000059130
gata2a,ENSDARG00000059327
gata2b,ENSDARG00000009094
gata3,ENSDARG00000016526
gata4,ENSDARG00000098952
gata5,ENSDARG00000017821
gata6,ENSDARG00000103589
gatad1,ENSDARG00000027612
gatad2ab,ENSDARG00000006192
gatad2b,ENSDARG00000005834
gb:ai877918,ENSDARG00000100179
gbx1,ENSDARG00000071418
gbx2,ENSDARG00000002933
gbx2,ENSDARG00000116377
gcfc2,ENSDARG00000079020
gcm2,ENSDARG00000045413
gfi1aa,ENSDARG00000020746
gfi1ab,ENSDARG00000044457
gfi1ab,ENSDARG00000114140
gfi1b,ENSDARG00000079947
gli1,ENSDARG00000101244
gli2a,ENSDARG00000025641
gli2b,ENSDARG00000020884
gli3,ENSDARG00000052131
glis1a,ENSDARG00000068580
glis1b,ENSDARG00000027933
glis2a,ENSDARG00000078388
glis2b,ENSDARG00000100232
glis3,ENSDARG00000069726
glmp,ENSDARG00000059354
gmeb1,ENSDARG00000062060
GMEB2,ENSDARG00000093240
gpbp1l1,ENSDARG00000075569
grhl1,ENSDARG00000061391
grhl2a,ENSDARG00000058342
grhl2b,ENSDARG00000061974
grhl3,ENSDARG00000078552
gsc,ENSDARG00000059073
gsc,ENSDARG00000111184
gsc,ENSDARG00000115937
gsx1,ENSDARG00000035735
gsx2,ENSDARG00000043322
gsx2,ENSDARG00000116417
gtf2ird1,ENSDARG00000022203
gtf2ird1,ENSDARG00000112976
gtf3aa,ENSDARG00000030267
gtf3ab,ENSDARG00000071583
gtf3ab,ENSDARG00000116242
hand2,ENSDARG00000008305
hbp1,ENSDARG00000028517
hdx,ENSDARG00000079382
helt,ENSDARG00000056400
her1,ENSDARG00000014722
her11,ENSDARG00000002707
her12,ENSDARG00000032963
her13,ENSDARG00000007097
her15.1,ENSDARG00000054562
her15.2,ENSDARG00000054560
her2,ENSDARG00000038205
her3,ENSDARG00000076857
her4.1,ENSDARG00000056732
her4.2,ENSDARG00000056729
her4.2,ENSDARG00000094426
her4.3,ENSDARG00000070770
her4.4,ENSDARG00000009822
her5,ENSDARG00000008796
her6,ENSDARG00000006514
her6,ENSDARG00000111099
her7,ENSDARG00000017917
her8.2,ENSDARG00000069675
her8a,ENSDARG00000016363
her9,ENSDARG00000056438
her9,ENSDARG00000115775
hes2.1,ENSDARG00000074897
hes2.2,ENSDARG00000068168
hes6,ENSDARG00000019335
hesx1,ENSDARG00000060734
hey1,ENSDARG00000070538
hey2,ENSDARG00000013441
heyl,ENSDARG00000055798
heyl,ENSDARG00000112770
hhex,ENSDARG00000098231
hic1,ENSDARG00000055493
hic1l,ENSDARG00000045660
hic2,ENSDARG00000100497
hif1ab,ENSDARG00000034293
hinfp,ENSDARG00000004851
