gene_symbol,reference_gene_id
Hes2,ENSRNOG00000010490
Hes3,ENSRNOG00000010893
Hes5,ENSRNOG00000013850
Hes6,ENSRNOG00000020194
Hes7,ENSRNOG00000007391
Hesx1,ENSRNOG00000014133
Hey1,ENSRNOG00000062882
Hey2,ENSRNOG00000013364
Heyl,ENSRNOG00000015318
Hhex,ENSRNOG00000016595
Hic1,ENSRNOG00000057619
Hic2,ENSRNOG00000051458
Hif1a,ENSRNOG00000008292
Hinfp,ENSRNOG00000009499
Hivep1,ENSRNOG00000014460
Hivep2,ENSRNOG00000011015
Hivep3,ENSRNOG00000009341
Hlf,ENSRNOG00000067479
Hlx,ENSRNOG00000002309
Hmbox1,ENSRNOG00000013326
Hmg1l1,ENSRNOG00000051482
Hmg20a,ENSRNOG00000016905
Hmg20b,ENSRNOG00000020601
Hmga1,ENSRNOG00000000488
Hmga2,ENSRNOG00000042460
Hmgb1,ENSRNOG00000058908
Hmgb2l1,ENSRNOG00000013167
Hmgb2l1,ENSRNOG00000033321
Hmgb3,ENSRNOG00000011096
Hmgb4,ENSRNOG00000032889
Hmgxb3,ENSRNOG00000018132
Hmgxb4,ENSRNOG00000013878
Hmx1,ENSRNOG00000009154
Hmx2,ENSRNOG00000020638
Hmx3,ENSRNOG00000020637
Hnf1a,ENSRNOG00000001183
Hnf1b,ENSRNOG00000002598
Hnf4a,ENSRNOG00000008895
Hnf4g,ENSRNOG00000008971
Homez,ENSRNOG00000014887
Hopx,ENSRNOG00000024689
Hoxa1,ENSRNOG00000005628
Hoxa10,ENSRNOG00000065199
Hoxa11,ENSRNOG00000059870
Hoxa13,ENSRNOG00000057061
Hoxa2,ENSRNOG00000005968
Hoxa3,ENSRNOG00000006281
Hoxa4,ENSRNOG00000027365
Hoxa5,ENSRNOG00000047951
Hoxa6,ENSRNOG00000048917
Hoxa7,ENSRNOG00000046361
Hoxa9,ENSRNOG00000064322
Hoxb1,ENSRNOG00000008506
