gene_symbol,reference_gene_id
nfatc3,ENSXETG00000005812
nfatc4,ENSXETG00000016887
nfe2,ENSXETG00000027400
nfe2l1,ENSXETG00000021958
nfe2l2,ENSXETG00000001808
nfe2l3,ENSXETG00000012174
nfia,ENSXETG00000008871
nfib,ENSXETG00000000835
nfic,ENSXETG00000008149
nfil3,ENSXETG00000000804
nfix,ENSXETG00000016718
nfkb1,ENSXETG00000021325
nfkb2,ENSXETG00000000013
nfrkb,ENSXETG00000004078
nfx1,ENSXETG00000014997
nfxl1,ENSXETG00000009836
nfya,ENSXETG00000011865
nfyb,ENSXETG00000019656
nfyc,ENSXETG00000025363
nkrf,ENSXETG00000007438
nkx1-1,ENSXETG00000003881
nkx2-2,ENSXETG00000023499
nkx2-3,ENSXETG00000036831
nkx2-5,ENSXETG00000012729
nkx2-6,ENSXETG00000007764
nkx2-8,ENSXETG00000039398
nkx3-1,ENSXETG00000007765
nkx3-2,ENSXETG00000037748
nkx3-3,ENSXETG00000018432
nkx6-1,ENSXETG00000013227
nkx6-2,ENSXETG00000023614
nodal6,ENSXETG00000034745
nosip,ENSXETG00000031460
not,ENSXETG00000011780
nox5,ENSXETG00000040424
npas2,ENSXETG00000021769
npas3,ENSXETG00000038495
npas4,ENSXETG00000020576
nptxr,ENSXETG00000030310
nr0b1,ENSXETG00000015374
nr0b2,ENSXETG00000040488
nr1d1,ENSXETG00000024397
nr1d2,ENSXETG00000003869
nr1h2,ENSXETG00000000307
nr1h5,ENSXETG00000021443
nr1i2,ENSXETG00000018029
nr1i3,ENSXETG00000031759
nr2c1,ENSXETG00000023840
nr2c2,ENSXETG00000004817
nr2e1,ENSXETG00000014853
nr2e3,ENSXETG00000005219
nr2f1,ENSXETG00000011594
nr2f2,ENSXETG00000022346
nr2f5,ENSXETG00000011046
nr2f6,ENSXETG00000013531
nr3c2,ENSXETG00000026061
nr4a1,ENSXETG00000000579
nr4a2,ENSXETG00000024016
nr4a2,ENSXETG00000031753
nr5a1,ENSXETG00000011456
nr5a2,ENSXETG00000000314
nr5a2,ENSXETG00000040685
nr6a1,ENSXETG00000008578
nrbf2,ENSXETG00000040940
nrf1,ENSXETG00000016306
nrl,ENSXETG00000022130
nsd2,ENSXETG00000026376
ocstamp,ENSXETG00000040916
olfml1,ENSXETG00000035738
OLIG2,ENSXETG00000039904
olig3,ENSXETG00000022490
olig4,ENSXETG00000027637
onecut1,ENSXETG00000006349
ONECUT2,ENSXETG00000036150
or6f1,ENSXETG00000038386
osr2,ENSXETG00000017850
otx1,ENSXETG00000040503
otx2,ENSXETG00000015687
ovol1,ENSXETG00000020587
ovol2,ENSXETG00000024897
papola,ENSXETG00000032534
pard6b,ENSXETG00000037819
patz1,ENSXETG00000004190
pax1,ENSXETG00000023497
pax2,ENSXETG00000014206
pax3,ENSXETG00000007640
pax5,ENSXETG00000006547
pax6,ENSXETG00000008175
pax7,ENSXETG00000018527
pax8,ENSXETG00000001272
pax9,ENSXETG00000002907
pax9,ENSXETG00000040784
paxbp1,ENSXETG00000009903
pbrm1,ENSXETG00000013671
pbx1,ENSXETG00000010464
pbx2,ENSXETG00000005223
pbx3,ENSXETG00000000502
pcdh15,ENSXETG00000031125
pcdhac2,ENSXETG00000039347
pdlim7,ENSXETG00000037549
pdx1,ENSXETG00000011787
pelo,ENSXETG00000035438
pelp1,ENSXETG00000040705
pfkfb3,ENSXETG00000039004
pfkfb4,ENSXETG00000040353
pgr,ENSXETG00000005482
phb,ENSXETG00000027802
phka2,ENSXETG00000040486
phlda1,ENSXETG00000030007
phox2a,ENSXETG00000010505
phox2b,ENSXETG00000021083
phtf2,ENSXETG00000019722
pias1,ENSXETG00000007813
pias2,ENSXETG00000021519
pias3,ENSXETG00000018642
pias4,ENSXETG00000006386
pik3ca,ENSXETG00000036112
pitx1,ENSXETG00000010401
pitx2,ENSXETG00000013330
pknox1,ENSXETG00000032286
pknox2,ENSXETG00000017781
pla2g4a,ENSXETG00000013882
plag1,ENSXETG00000005654
plb1,ENSXETG00000030313
plek,ENSXETG00000017358
plp1,ENSXETG00000036504
plscr1,ENSXETG00000015514
pmp2,ENSXETG00000037176
pms1,ENSXETG00000009885
pold3,ENSXETG00000026450
pou1f1,ENSXETG00000007637
pou2f2,ENSXETG00000033156
pou2f3,ENSXETG00000015251
pou3f1,ENSXETG00000011510
pou3f2,ENSXETG00000038746
pou3f4,ENSXETG00000014504
pou4f1,ENSXETG00000017814
pou4f1.2,ENSXETG00000018386
pou5f3.1,ENSXETG00000026475
pou6f1,ENSXETG00000014200
pou6f2,ENSXETG00000005600
ppara,ENSXETG00000023454
ppard,ENSXETG00000015121
pparg,ENSXETG00000017422
ppp2r2a,ENSXETG00000040707
ppp2r5e,ENSXETG00000038857
ppp5c,ENSXETG00000030372
prdm1,ENSXETG00000008674
prdm10,ENSXETG00000032173
prdm13,ENSXETG00000032719
prdm14,ENSXETG00000015915
prdm15,ENSXETG00000000068
prdm16,ENSXETG00000012050
prdm5,ENSXETG00000002101
prdm6,ENSXETG00000010261
prdm8,ENSXETG00000021533
prox1,ENSXETG00000023176
prrx1,ENSXETG00000004727
prrx2,ENSXETG00000014169
prtfdc1,ENSXETG00000016131
prxl2c,ENSXETG00000035929
psme1,ENSXETG00000031992
psmg2,ENSXETG00000039605
ptf1a,ENSXETG00000037578
pura,ENSXETG00000003837
purb,ENSXETG00000001257
pycr1,ENSXETG00000005381
pym1,ENSXETG00000033314
qsox1,ENSXETG00000023156
rab3gap1,ENSXETG00000036652
rad54l,ENSXETG00000034928
rap2b,ENSXETG00000030814
rara,ENSXETG00000024390
rarb,ENSXETG00000007272
rarg,ENSXETG00000012670
rasal3,ENSXETG00000031889
rasd1,ENSXETG00000037555
rax,ENSXETG00000021154
rbpj,ENSXETG00000000935
rcor1,ENSXETG00000012743
rcor2,ENSXETG00000002710
rcor3,ENSXETG00000005989
rel,ENSXETG00000002209
rela,ENSXETG00000026173
rere,ENSXETG00000011890
rest,ENSXETG00000038650
rfx1,ENSXETG00000005567
rfx2,ENSXETG00000021877
rfx3,ENSXETG00000011698
rfx4,ENSXETG00000014145
rfx6,ENSXETG00000033810
rfx7,ENSXETG00000024544
rfxank,ENSXETG00000013042
rhot1,ENSXETG00000040520
rilpl2,ENSXETG00000040786
rnf214,ENSXETG00000041073
rnf220.1,ENSXETG00000041097
ro60,ENSXETG00000040763
rora,ENSXETG00000021123
rorb.2,ENSXETG00000008148
rorc,ENSXETG00000002131
rpl21,ENSXETG00000033030
rprml,ENSXETG00000039044
rps6ka6,ENSXETG00000038026
rps6kl1,ENSXETG00000040555
rreb1,ENSXETG00000015435
rrp12,ENSXETG00000037650
rsph9,ENSXETG00000031251
runx2,ENSXETG00000001397
runx3,ENSXETG00000001029
rxra,ENSXETG00000012733
rxrb,ENSXETG00000040714
rxrg,ENSXETG00000004750
sall1,ENSXETG00000018417
sall2,ENSXETG00000017176
sall3,ENSXETG00000000845
sall4,ENSXETG00000012326
sall4,ENSXETG00000031339
satb1,ENSXETG00000009045
sbf2,ENSXETG00000039440
scaf1,ENSXETG00000035851
SCRT1,ENSXETG00000040585
scx,ENSXETG00000005692
sebox,ENSXETG00000034574
serpina10,ENSXETG00000035833
serpinb4,ENSXETG00000031881
sesn3,ENSXETG00000035442
setbp1,ENSXETG00000008160
setdb1,ENSXETG00000008936
setdb2,ENSXETG00000015666
sfpq,ENSXETG00000009682
sgk2,ENSXETG00000012119
shd,ENSXETG00000032269
shmt2,ENSXETG00000035631
shox,ENSXETG00000035986
shox2,ENSXETG00000014058
sia1,ENSXETG00000009100
sia2,ENSXETG00000030966
sia3,ENSXETG00000039414
sim1,ENSXETG00000002406
sim2,ENSXETG00000013022
sirt7,ENSXETG00000036353
six1,ENSXETG00000016943
six2,ENSXETG00000026158
six3,ENSXETG00000002758
six4,ENSXETG00000016941
six6,ENSXETG00000016945
slc38a3,ENSXETG00000037484
smad1,ENSXETG00000026047
smad2,ENSXETG00000020292
smad3,ENSXETG00000007804
smad4.1,ENSXETG00000022355
smad6,ENSXETG00000015939
smad7,ENSXETG00000020317
smad9,ENSXETG00000001820
smarcal1,ENSXETG00000000465
smarcc1,ENSXETG00000014492
smarcc2,ENSXETG00000009486
smarce1,ENSXETG00000021355
snai1,ENSXETG00000027366
snai2,ENSXETG00000024006
snai3,ENSXETG00000041190
snapc4,ENSXETG00000000743
snrnp48,ENSXETG00000023998
soga1,ENSXETG00000034886
soho1,ENSXETG00000033745
sorl1,ENSXETG00000033848
sowahc,ENSXETG00000038725
sox10,ENSXETG00000006348
sox11,ENSXETG00000038964
sox13,ENSXETG00000017139
sox14,ENSXETG00000034566
sox17b.1,ENSXETG00000026438
SOX18,ENSXETG00000032706
sox2,ENSXETG00000036807
sox21,ENSXETG00000010955
sox3,ENSXETG00000007607
sox3,ENSXETG00000037339
sox4,ENSXETG00000037031
