gene_symbol,reference_gene_id
SIX2,ENSGALG00000023303
SIX3,ENSGALG00000032259
SIX4,ENSGALG00000017389
SIX6,ENSGALG00000020359
SMAD1,ENSGALG00000009977
SMAD2Z,ENSGALG00000036001
SMAD3,ENSGALG00000035701
SMAD5,ENSGALG00000006309
SMAD6,ENSGALG00000025898
SMAD7B,ENSGALG00000029545
SMAD9,ENSGALG00000017050
SMARCC1,ENSGALG00000032642
SMARCC2,ENSGALG00000041592
SMARCE1,ENSGALG00000003882
SNAI1,ENSGALG00000008018
SNAPC4,ENSGALG00000044726
SOHO-1,ENSGALG00000015599
SOX1,ENSGALG00000030353
SOX10,ENSGALG00000012290
SOX13,ENSGALG00000000583
SOX14,ENSGALG00000037352
SOX17,ENSGALG00000032994
SOX18,ENSGALG00000034118
SOX2,ENSGALG00000043460
SOX21,ENSGALG00000035157
SOX4,ENSGALG00000036497
SOX5,ENSGALG00000032768
SOX6,ENSGALG00000006074
SOX8,ENSGALG00000005263
SOX9,ENSGALG00000004386
SP1,ENSGALG00000035487
SP2,ENSGALG00000000233
SP3,ENSGALG00000031796
SP4,ENSGALG00000039454
SP5,ENSGALG00000034094
SP6,ENSGALG00000047863
SP7,ENSGALG00000050811
SP8,ENSGALG00000035725
SP9,ENSGALG00000043079
SPDEF,ENSGALG00000002792
SPI1,ENSGALG00000008127
SPIC,ENSGALG00000054799
SREBF1,ENSGALG00000027188
SREBF2,ENSGALG00000041687
SRF,ENSGALG00000032029
SSRP1,ENSGALG00000007520
ST18,ENSGALG00000015254
STAT1,ENSGALG00000007651
STAT2,ENSGALG00000030661
STAT3,ENSGALG00000003267
STAT4,ENSGALG00000033087
STAT5A,ENSGALG00000003282
SUB1,ENSGALG00000003248
TADA2A,ENSGALG00000005452
TAF1B,ENSGALG00000038495
TAL1,ENSGALG00000023296
TAL2,ENSGALG00000054131
TBR1,ENSGALG00000036378
TBX1,ENSGALG00000041182
TBX15,ENSGALG00000014776
TBX18,ENSGALG00000032789
TBX19,ENSGALG00000015244
TBX2,ENSGALG00000034297
TBX20,ENSGALG00000032097
TBX21,ENSGALG00000050240
TBX22,ENSGALG00000004093
TBX3,ENSGALG00000036043
TBX4,ENSGALG00000005285
TBX5,ENSGALG00000008253
TBX6,ENSGALG00000006374
TBXT,ENSGALG00000011489
TCF12,ENSGALG00000004304
TCF15,ENSGALG00000026276
TCF21,ENSGALG00000029024
TCF24,ENSGALG00000040355
TCF25,ENSGALG00000000129
TCF3,ENSGALG00000001093
TCF7,ENSGALG00000006480
TCF7L1,ENSGALG00000032656
TCF7L2,ENSGALG00000008883
TCFL5,ENSGALG00000045499
TEAD1,ENSGALG00000005415
TEAD3,ENSGALG00000043513
TEAD4,ENSGALG00000014342
TEF,ENSGALG00000011958
TERF1,ENSGALG00000037453
TERF2,ENSGALG00000000657
TET2,ENSGALG00000010592
TF,ENSGALG00000006453
TFAM,ENSGALG00000002703
TFAP2A,ENSGALG00000012775
TFAP2B,ENSGALG00000016680
TFAP2C,ENSGALG00000007690
TFAP2D,ENSGALG00000019842
TFAP2E,ENSGALG00000039497
TFAP4,ENSGALG00000027823
TFB1M,ENSGALG00000013647
TFCP2,ENSGALG00000035530
TFCP2L1,ENSGALG00000011635
TFDP1,ENSGALG00000016823
TFDP2,ENSGALG00000025759
TFEB,ENSGALG00000039878
TFEC,ENSGALG00000040557
TGIF1,ENSGALG00000014795
TGIF2,ENSGALG00000024081
THAP1,ENSGALG00000015385
THAP12,ENSGALG00000000838
THAP4,ENSGALG00000006283
THAP5,ENSGALG00000009494
THAP7,ENSGALG00000036459
THRB,ENSGALG00000011294
THYN1,ENSGALG00000001529
TLX1,ENSGALG00000007831
TLX3,ENSGALG00000002191
TMF1,ENSGALG00000013408
TOX,ENSGALG00000039102
TOX2,ENSGALG00000003106
TOX3,ENSGALG00000034649
TP63,ENSGALG00000007324
TP73,ENSGALG00000001006
TRERF1,ENSGALG00000009896
TRPS1,ENSGALG00000031700
TSC22D1,ENSGALG00000051442
TSC22D2,ENSGALG00000027591
TSC22D4,ENSGALG00000027069
TSHZ1,ENSGALG00000013672
TSHZ2,ENSGALG00000007809
TSHZ3,ENSGALG00000004528
TTF1,ENSGALG00000027242
TUB,ENSGALG00000005986
TULP1,ENSGALG00000031301
TULP3,ENSGALG00000013424
TULP4,ENSGALG00000037377
TWIST1,ENSGALG00000041640
TWIST2,ENSGALG00000004274
TWIST3,ENSGALG00000040220
UBP1,ENSGALG00000035630
UBTF,ENSGALG00000042976
USF1,ENSGALG00000037595
USF3,ENSGALG00000031560
VAX1,ENSGALG00000009261
VDR,ENSGALG00000033090
VEZF1,ENSGALG00000005530
VSX1,ENSGALG00000037576
VSX2,ENSGALG00000033517
WDHD1,ENSGALG00000012199
WT1,ENSGALG00000012115
XBP1,ENSGALG00000005796
XPA,ENSGALG00000028998
YBX1,ENSGALG00000004848
YBX3,ENSGALG00000031890
YEATS4,ENSGALG00000029135
YY2,ENSGALG00000017388
ZBED1,ENSGALG00000016681
ZBED4,ENSGALG00000032659
ZBTB1,ENSGALG00000011718
ZBTB11,ENSGALG00000015334
ZBTB14,ENSGALG00000038340
ZBTB17,ENSGALG00000035352
ZBTB18,ENSGALG00000010705
ZBTB2,ENSGALG00000012966
ZBTB20,ENSGALG00000015094
ZBTB21,ENSGALG00000016147
ZBTB24,ENSGALG00000015231
ZBTB25,ENSGALG00000028942
ZBTB26,ENSGALG00000042762
ZBTB32,ENSGALG00000038540
ZBTB33,ENSGALG00000008611
ZBTB34,ENSGALG00000023407
ZBTB37,ENSGALG00000004597
ZBTB38,ENSGALG00000036543
ZBTB39,ENSGALG00000035502
ZBTB40,ENSGALG00000004781
ZBTB41,ENSGALG00000002305
ZBTB43,ENSGALG00000000934
ZBTB44,ENSGALG00000001341
ZBTB45,ENSGALG00000033174
ZBTB46,ENSGALG00000006062
ZBTB47,ENSGALG00000005287
ZBTB48,ENSGALG00000000637
ZBTB49,ENSGALG00000015009
ZBTB5,ENSGALG00000005354
ZBTB6,ENSGALG00000021570
ZBTB7A,ENSGALG00000025907
ZBTB7C,ENSGALG00000033408
ZBTB8A,ENSGALG00000003420
ZC2HC1A,ENSGALG00000035932
ZC3HAV1,ENSGALG00000013911
ZEB1,ENSGALG00000007260
ZEB2,ENSGALG00000040465
ZFAT,ENSGALG00000037698
ZFHX3,ENSGALG00000000713
